0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012905,0.0022115,0.00052354,0.0022506,0.0019425,0.0046452,0.0022089,0.0013595,0.00081626,0.00066791,0.0018602,0.0037982,0.0015692,0.0032133,0.0048923
0,0,0,0,0,0,0,0,0,3.313e-06,0.00030403,0.0003981,0.011073,0.018144,0.017857,0.030822,0.032065,0.038078,0.036803,0.040294,0.038907,0.038445,0.033913,0.030442,0.026511,0.025755,0.025165,0.032526,0.027924,0.028948
0,0,0,0,0,0,0,0.00012808,0.0062382,0.011909,0.022426,0.037873,0.045257,0.058635,0.065013,0.082118,0.079898,0.091349,0.096166,0.093995,0.088704,0.086111,0.09215,0.082232,0.076263,0.07508,0.070499,0.069984,0.067055,0.064483
0,0,0,0,0,0,0.0034898,0.011615,0.028663,0.046458,0.055968,0.075485,0.090759,0.11342,0.13542,0.1556,0.16552,0.18043,0.18283,0.17474,0.17462,0.16353,0.15648,0.15277,0.14171,0.14317,0.11885,0.11984,0.11096,0.10787
0,0,0,0,0,0.0045,0.019755,0.03695,0.058617,0.08323,0.10698,0.13903,0.164,0.18229,0.22505,0.25909,0.27997,0.29697,0.2837,0.28723,0.27702,0.26779,0.24834,0.2397,0.23119,0.19699,0.18729,0.17712,0.16953,0.15513
0,0,0,4.2197e-05,0.0055386,0.022362,0.043807,0.066986,0.1016,0.13759,0.17224,0.20669,0.25072,0.29625,0.33485,0.36731,0.40553,0.4086,0.41055,0.42446,0.38544,0.38492,0.36703,0.32872,0.31064,0.2668,0.26615,0.23414,0.19684,0.1978
0,0,6.3624e-06,0.0044708,0.02412,0.044078,0.071861,0.11049,0.15914,0.21178,0.25035,0.30128,0.37059,0.43396,0.46769,0.52624,0.56603,0.58206,0.56602,0.53112,0.53064,0.50745,0.43848,0.44096,0.39953,0.36555,0.33759,0.28879,0.2564,0.24596
0,0,0.0016057,0.015663,0.041744,0.0747,0.11017,0.15702,0.22277,0.27321,0.34583,0.40739,0.48582,0.55281,0.61729,0.66642,0.72576,0.70842,0.68357,0.67768,0.68538,0.66374,0.58302,0.54162,0.48851,0.43659,0.41789,0.37257,0.32717,0.28991
0,5.3105e-06,0.0043452,0.029235,0.064474,0.099728,0.15316,0.21025,0.28617,0.35122,0.41777,0.4989,0.59748,0.68046,0.72353,0.79895,0.84613,0.84516,0.87811,0.82147,0.78923,0.74387,0.66027,0.62615,0.57845,0.4877,0.46201,0.40203,0.3505,0.31667
0,0.00015374,0.014403,0.043043,0.080316,0.12541,0.18431,0.2573,0.33252,0.41281,0.48776,0.57126,0.67823,0.79159,0.85416,0.9311,0.95668,0.91581,0.90943,0.89542,0.83826,0.79579,0.72082,0.66622,0.56497,0.52985,0.45994,0.38761,0.36507,0.33636
0,0.00029637,0.019308,0.050479,0.094731,0.14253,0.19848,0.29131,0.37055,0.46437,0.55021,0.66284,0.75614,0.83587,0.88227,0.98022,0.97596,0.97051,0.99031,0.93502,0.88781,0.83947,0.78006,0.6958,0.62856,0.56091,0.48199,0.41635,0.37749,0.32894
0,0.00044182,0.02351,0.055335,0.099988,0.15653,0.21222,0.30924,0.40371,0.48161,0.58948,0.71168,0.8087,0.83885,0.96972,0.97549,1,0.93362,0.93218,0.91546,0.87891,0.80234,0.72546,0.60492,0.59272,0.51126,0.44108,0.39431,0.34574,0.30904
0,0.00048051,0.02118,0.04802,0.096627,0.15016,0.22406,0.30198,0.39198,0.49109,0.58968,0.68904,0.77693,0.85624,0.92122,0.94756,0.96059,0.93676,0.89279,0.85098,0.82048,0.72567,0.64802,0.60685,0.55313,0.43606,0.38609,0.35014,0.30893,0.27447
0,8.336e-06,0.0085555,0.046475,0.08545,0.13547,0.21597,0.28737,0.37361,0.46784,0.54415,0.65277,0.73943,0.77993,0.83876,0.90746,0.87696,0.84698,0.82404,0.75559,0.7057,0.65711,0.60346,0.51389,0.44444,0.40598,0.38528,0.29896,0.26543,0.22761
0,0,0.0057416,0.035998,0.073081,0.1206,0.18538,0.25895,0.33556,0.42606,0.49092,0.61216,0.65797,0.72297,0.77994,0.786,0.78254,0.7499,0.70234,0.65428,0.61858,0.56294,0.49079,0.42057,0.38159,0.3318,0.29118,0.24908,0.2116,0.18949
0,0,0.0029909,0.022418,0.056035,0.092754,0.1577,0.20941,0.27934,0.35835,0.445,0.52875,0.56508,0.63029,0.65575,0.67395,0.64887,0.63753,0.59101,0.54697,0.48886,0.44446,0.39091,0.33171,0.28623,0.2426,0.21101,0.18834,0.16021,0.13981
0,0,9.3301e-06,0.010359,0.038445,0.05789,0.12225,0.1675,0.2263,0.28733,0.35829,0.41751,0.45622,0.50866,0.52899,0.5382,0.52727,0.4819,0.45332,0.41181,0.36987,0.32439,0.29026,0.25135,0.21362,0.17935,0.16139,0.12642,0.10899,0.094794
0,0,0,0.0016663,0.023419,0.042085,0.084397,0.12802,0.1798,0.22849,0.28854,0.33165,0.3666,0.39717,0.41453,0.39945,0.3901,0.37953,0.33785,0.29952,0.27514,0.22587,0.2004,0.17961,0.1439,0.11838,0.10747,0.090314,0.074323,0.062014
0,0,0,5.0271e-05,0.0069527,0.033656,0.053033,0.086597,0.12261,0.16746,0.20395,0.23704,0.26364,0.28648,0.29324,0.2886,0.27825,0.25408,0.23229,0.20579,0.18493,0.15177,0.12688,0.10705,0.090027,0.071141,0.059708,0.048544,0.034845,0.030427
0,0,0,0,7.7341e-05,0.0087897,0.030714,0.053318,0.083487,0.10981,0.13017,0.15742,0.17308,0.19459,0.18908,0.18937,0.17755,0.17093,0.14836,0.13201,0.11221,0.087989,0.075082,0.058544,0.042972,0.029802,0.020646,0.014118,0.006125,0.006706
0,0,0,0,0,0.00082091,0.0086334,0.026179,0.046536,0.063059,0.083311,0.096255,0.10643,0.11221,0.11584,0.11201,0.10618,0.092762,0.085238,0.068985,0.057596,0.040801,0.029831,0.018792,0.010663,0.0070969,0.0022897,0.00022691,0,0
0,0,0,0,0,0,5.4999e-05,0.0069968,0.015304,0.026435,0.033604,0.042475,0.050017,0.049631,0.049846,0.057812,0.051785,0.040707,0.034886,0.025756,0.017682,0.0051449,0.0014217,2.1826e-05,3.53e-05,0,0,0,0,0
0,0,0,0,0,0,0,0,3.1355e-06,0.00042923,0.0022395,0.0052922,0.0090248,0.01451,0.0082429,0.011325,0.0081705,0.0027168,0.0021921,0.00019797,5.829e-05,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.8396e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
